70.21952278229845;
70.22039098792659;
70.2228964122631;
70.22101403318642;
70.22150924029762;
70.22204014595908;
70.22277456644731;
70.22079050278298;
70.22074565514353;
70.22062497541101;
70.2205028648737;
70.22090019928169;
70.22025026306736;
70.22192809312028;
70.22132696172729;
70.22151873469537;
70.22184374225122;
70.2218209931835;
70.22101399559024;
70.22176374449691;
70.22151537906103;
70.22175922523513;
70.22176678459937;
70.22172730482002;
70.22175464205;
70.22163233711376;
70.22173378583358;
70.22165059126083;
70.22166797518994;
70.22169003322371;
70.2215344282955;
70.22153777906327;
70.22166769402922;
70.22168831928722;
70.22165460904105;
70.22167725457103;
70.22169510092829;
70.22081744629553;
70.22165144438776;
70.2216443830937;
70.22163546143359;
70.22125816307721;
70.22161232097292;
70.22143681813678;
70.22159500007524;
70.22132640683391;
70.22144825083447;
70.2214906917295;
70.22145562061785;
70.22139341748131;
70.22151820001002;
70.22153295846293;
70.22117457537863;
70.22147842377507;
70.22148821980542;
70.22110484508815;
70.22136342850129;
70.22145125853112;
70.22137060053178;
70.22142355586756;
70.22141824675036;
70.220990043628;
70.2212207901796;
70.22137031642096;
70.22136690493927;
70.22135786423705;
70.22055060674407;
70.22128094693089;
70.22112050945782;
70.22117544613688;
70.22125314977148;
70.2212527919875;
70.22124772110125;
70.2212468370639;
70.22124933790933;
70.22116543498011;
70.2212334878383;
70.22105696020648;
70.22119281434742;
70.22084559850231;
70.22115932511218;
70.22115812627308;
70.22115827462613;
70.22065335939119;
70.22098444822177;
70.22107201933305;
70.22108506060624;
70.22103752822241;
70.22105770488984;
70.22105783542574;
70.22105393639268;
70.22085809043207;
70.22100530066858;
70.2209849893092;
70.22100909406142;
70.22100246823697;
70.22081049538923;
70.22099997802776;
70.22099106371839;
70.22098708949328;
70.22098884297534;
70.22085968485877;
70.22094631142697;
70.22094289895509;
70.22093927406038;
70.22093707322728;
70.22093130342607;
70.2209422769699;
70.22091968807649;
70.22092321136948;
70.22092544643083;
70.22090442753164;
70.2208923851839;
70.22090019120175;
70.22089161425868;
70.22088033768665;
70.22085295213364;
70.22087384573678;
70.22032984041923;
70.22080871780628;
70.22079776431792;
70.220790315138;
70.22078148336936;
70.22076764916403;
70.2207560828324;
70.22076804776309;
70.22075574678401;
70.2207347168198;
70.22063693023824;
70.22072441738663;
70.22072088874631;
70.2206970070155;
70.2206876864792;
70.22070247754318;
70.22066660990177;
70.22067897712532;
70.22065740701198;
70.22057997656533;
70.22063527533872;
70.22028662139257;
70.22059505449238;
70.2206068905452;
70.22055755612384;
70.2204744004062;
70.22055926215307;
70.22057377225588;
70.22031236162654;
70.22053795894993;
70.22029022562154;
70.22005033083443;
70.21998419833751;
70.22044411736985;
70.21978242411416;
70.22016161106244;
70.2202822951412;
70.22033983402974;
70.22021001690526;
70.22029195943706;
70.22023861125093;
70.22029118203587;
70.22024993053627;
70.22024808272535;
70.22027890314445;
70.21993700897333;
70.2196688808068;
70.21886184877323;
70.22002102769349;
70.22001549601761;
70.21873464214993;
70.21985306325136;
70.21979628559747;
70.21924187337058;
70.21977073189306;
70.21856002455294;
70.2195232270986;
70.21949466370218;
70.21841720808983;
70.21828068257207;
70.21872716988388;
70.2183572067853;
70.21878635956905;
70.21853017930887;
70.21814884835277;
70.21802158851091;
70.21840980654645;
70.21884324430873;
70.21881494312868;
70.21885190824372;
70.21883372293252;
70.21884747874385;
70.21884253127716;
70.2185166872206;
70.21880154099028;
70.21881568084119;
70.21877001321678;
70.21878561576538;
70.21882478449288;
70.21877722920682;
70.21881228198633;
